word,language,length,difficulty,clue,source,source_license
plaine,fr,6,,Terrain plat,hand-curated,FSL-1.1-MIT
planete,fr,7,,Corps celeste,hand-curated,FSL-1.1-MIT
plante,fr,6,,Vegetal enracine,hand-curated,FSL-1.1-MIT
plie,fr,4,,Poisson plat,hand-curated,FSL-1.1-MIT
plume,fr,5,,Revetement d'oiseau,hand-curated,FSL-1.1-MIT
poire,fr,5,,Fruit a pepins,hand-curated,FSL-1.1-MIT
poivre,fr,6,,Epice piquante,hand-curated,FSL-1.1-MIT
pomme,fr,5,,Fruit du pommier,hand-curated,FSL-1.1-MIT
pont,fr,4,,Ouvrage enjambant,hand-curated,FSL-1.1-MIT
pore,fr,4,,Ouverture de la peau,hand-curated,FSL-1.1-MIT
potion,fr,6,,Breuvage magique,hand-curated,FSL-1.1-MIT
poussee,fr,7,,Force exercee,hand-curated,FSL-1.1-MIT
poussin,fr,7,,Petit de la poule,hand-curated,FSL-1.1-MIT
priere,fr,6,,Invocation sacree,hand-curated,FSL-1.1-MIT
prince,fr,6,,Fils du roi,hand-curated,FSL-1.1-MIT
prise,fr,5,,Action de saisir,hand-curated,FSL-1.1-MIT
prison,fr,6,,Lieu de detention,hand-curated,FSL-1.1-MIT
proie,fr,5,,Cible d'un predateur,hand-curated,FSL-1.1-MIT
psi,fr,3,,Lettre grecque,hand-curated,FSL-1.1-MIT
pu,fr,2,,Participe passe de pouvoir,hand-curated,FSL-1.1-MIT
puits,fr,5,,Trou pour puiser l'eau,hand-curated,FSL-1.1-MIT
purin,fr,5,,Engrais liquide,hand-curated,FSL-1.1-MIT
puzzle,fr,6,,Jeu de patience,hand-curated,FSL-1.1-MIT
quai,fr,4,,Bord d'un port,hand-curated,FSL-1.1-MIT
ra,fr,2,,Dieu solaire egyptien,hand-curated,FSL-1.1-MIT
racine,fr,6,,Base d'un arbre,hand-curated,FSL-1.1-MIT
raison,fr,6,,Faculte de penser,hand-curated,FSL-1.1-MIT
rapide,fr,6,,Qui va vite,hand-curated,FSL-1.1-MIT
rare,fr,4,,Peu frequent,hand-curated,FSL-1.1-MIT
ratine,fr,6,,Tissu a boucles,hand-curated,FSL-1.1-MIT
re,fr,2,,Note de musique,hand-curated,FSL-1.1-MIT
reas,fr,4,,Repondit a l'appel,hand-curated,FSL-1.1-MIT
rebus,fr,5,,Jeu de devinette,hand-curated,FSL-1.1-MIT
recette,fr,7,,Instructions culinaires,hand-curated,FSL-1.1-MIT
regard,fr,6,,Action de voir,hand-curated,FSL-1.1-MIT
reine,fr,5,,Souveraine,hand-curated,FSL-1.1-MIT
remise,fr,6,,Rabais accorde,hand-curated,FSL-1.1-MIT
repit,fr,5,,Pause momentanee,hand-curated,FSL-1.1-MIT
requin,fr,6,,Poisson predateur,hand-curated,FSL-1.1-MIT
res,fr,3,,Chose en latin,hand-curated,FSL-1.1-MIT
ri,fr,2,,Participe passe de rire,hand-curated,FSL-1.1-MIT
rideau,fr,6,,Tissu de fenetre,hand-curated,FSL-1.1-MIT
rime,fr,4,,Echo sonore en poesie,hand-curated,FSL-1.1-MIT
ris,fr,3,,Eclat de rire,hand-curated,FSL-1.1-MIT
rite,fr,4,,Ceremonie sacree,hand-curated,FSL-1.1-MIT
rivage,fr,6,,Bord de mer,hand-curated,FSL-1.1-MIT
riz,fr,3,,Cereale asiatique,hand-curated,FSL-1.1-MIT
rocher,fr,6,,Grande masse de pierre,hand-curated,FSL-1.1-MIT
rock,fr,4,,Genre musical,hand-curated,FSL-1.1-MIT
rond,fr,4,,De forme circulaire,hand-curated,FSL-1.1-MIT
ru,fr,2,,Petit ruisseau,hand-curated,FSL-1.1-MIT
ruche,fr,5,,Habitat des abeilles,hand-curated,FSL-1.1-MIT
ruse,fr,4,,Stratageme,hand-curated,FSL-1.1-MIT
sa,fr,2,,Determinant possessif,hand-curated,FSL-1.1-MIT
sable,fr,5,,Grains fins de roche,hand-curated,FSL-1.1-MIT
saison,fr,6,,Partie de l'annee,hand-curated,FSL-1.1-MIT
sang,fr,4,,Liquide vital rouge,hand-curated,FSL-1.1-MIT
sas,fr,3,,Passage etanche,hand-curated,FSL-1.1-MIT
savon,fr,5,,Produit lavant,hand-curated,FSL-1.1-MIT
scene,fr,5,,Plateau de theatre,hand-curated,FSL-1.1-MIT
se,fr,2,,Pronom reflechi,hand-curated,FSL-1.1-MIT
secret,fr,6,,Information cachee,hand-curated,FSL-1.1-MIT
sel,fr,3,,Condiment blanc,hand-curated,FSL-1.1-MIT
sens,fr,4,,Direction ou signification,hand-curated,FSL-1.1-MIT
sentier,fr,7,,Petit chemin,hand-curated,FSL-1.1-MIT
set,fr,3,,Manche au tennis,hand-curated,FSL-1.1-MIT
si,fr,2,,Conjonction de condition,hand-curated,FSL-1.1-MIT
silence,fr,7,,Absence de bruit,hand-curated,FSL-1.1-MIT
sirop,fr,5,,Liquide sucre epais,hand-curated,FSL-1.1-MIT
sis,fr,3,,Situes,hand-curated,FSL-1.1-MIT
site,fr,4,,Emplacement,hand-curated,FSL-1.1-MIT
soie,fr,4,,Tissu precieux,hand-curated,FSL-1.1-MIT
soin,fr,4,,Attention portee,hand-curated,FSL-1.1-MIT
sorcier,fr,7,,Mage malfaisant,hand-curated,FSL-1.1-MIT
sort,fr,4,,Destin ou malediction,hand-curated,FSL-1.1-MIT
soupe,fr,5,,Potage chaud,hand-curated,FSL-1.1-MIT
spa,fr,3,,Centre de bien-etre,hand-curated,FSL-1.1-MIT
statue,fr,6,,Sculpture figurative,hand-curated,FSL-1.1-MIT
su,fr,2,,Participe passe de savoir,hand-curated,FSL-1.1-MIT
sucre,fr,5,,Substance douce,hand-curated,FSL-1.1-MIT
suette,fr,6,,Maladie a transpiration,hand-curated,FSL-1.1-MIT
sur,fr,3,,Preposition de lieu,hand-curated,FSL-1.1-MIT
ta,fr,2,,Determinant possessif,hand-curated,FSL-1.1-MIT
taxi,fr,4,,Vehicule avec chauffeur,hand-curated,FSL-1.1-MIT
te,fr,2,,Pronom personnel,hand-curated,FSL-1.1-MIT
tee,fr,3,,Support de golf,hand-curated,FSL-1.1-MIT
tempete,fr,7,,Violente perturbation,hand-curated,FSL-1.1-MIT
tet,fr,3,,Nouvel an vietnamien,hand-curated,FSL-1.1-MIT
tete,fr,4,,Sommet du corps,hand-curated,FSL-1.1-MIT
the,fr,3,,Infusion de feuilles,hand-curated,FSL-1.1-MIT
tie,fr,3,,Egalite au tennis,hand-curated,FSL-1.1-MIT
tigre,fr,5,,Grand felin raye,hand-curated,FSL-1.1-MIT
tir,fr,3,,Action de lancer,hand-curated,FSL-1.1-MIT
toise,fr,5,,Ancienne mesure,hand-curated,FSL-1.1-MIT
tomate,fr,6,,Fruit rouge potager,hand-curated,FSL-1.1-MIT
tonneau,fr,7,,Fut en bois,hand-curated,FSL-1.1-MIT
tortue,fr,6,,Reptile a carapace,hand-curated,FSL-1.1-MIT
tour,fr,4,,Construction elevee,hand-curated,FSL-1.1-MIT
train,fr,5,,Convoi ferroviaire,hand-curated,FSL-1.1-MIT
tresor,fr,6,,Richesse cachee,hand-curated,FSL-1.1-MIT
tri,fr,3,,Classement,hand-curated,FSL-1.1-MIT
tries,fr,5,,Classees par ordre,hand-curated,FSL-1.1-MIT
trio,fr,4,,Groupe de trois,hand-curated,FSL-1.1-MIT
trone,fr,5,,Siege royal,hand-curated,FSL-1.1-MIT
tu,fr,2,,Pronom deuxieme personne,hand-curated,FSL-1.1-MIT
tuer,fr,4,,Oter la vie,hand-curated,FSL-1.1-MIT
type,fr,4,,Categorie,hand-curated,FSL-1.1-MIT
un,fr,2,,Article indefini,hand-curated,FSL-1.1-MIT
une,fr,3,,Article feminin,hand-curated,FSL-1.1-MIT
us,fr,2,,Coutumes et usages,hand-curated,FSL-1.1-MIT
use,fr,3,,Deterioree par l'usage,hand-curated,FSL-1.1-MIT
usee,fr,4,,Deterioree,hand-curated,FSL-1.1-MIT
user,fr,4,,Deteriorer,hand-curated,FSL-1.1-MIT
usine,fr,5,,Lieu de fabrication,hand-curated,FSL-1.1-MIT
ut,fr,2,,Ancienne note de musique,hand-curated,FSL-1.1-MIT
va,fr,2,,Verbe aller conjugue,hand-curated,FSL-1.1-MIT
vague,fr,5,,Ondulation marine,hand-curated,FSL-1.1-MIT
valise,fr,6,,Bagage de voyage,hand-curated,FSL-1.1-MIT
vampire,fr,7,,Creature de la nuit,hand-curated,FSL-1.1-MIT
veau,fr,4,,Jeune bovin,hand-curated,FSL-1.1-MIT
ventre,fr,6,,Partie du corps,hand-curated,FSL-1.1-MIT
ver,fr,3,,Animal rampant,hand-curated,FSL-1.1-MIT
verger,fr,6,,Terrain plante d'arbres fruitiers,hand-curated,FSL-1.1-MIT
vet,fr,3,,Habille,hand-curated,FSL-1.1-MIT
viande,fr,6,,Chair animale,hand-curated,FSL-1.1-MIT
village,fr,7,,Petite agglomeration,hand-curated,FSL-1.1-MIT
violon,fr,6,,Instrument a cordes,hand-curated,FSL-1.1-MIT
vis,fr,3,,Piece de fixation,hand-curated,FSL-1.1-MIT
voeu,fr,4,,Souhait ardent,hand-curated,FSL-1.1-MIT
vol,fr,3,,Deplacement aerien,hand-curated,FSL-1.1-MIT
volcan,fr,6,,Montagne de feu,hand-curated,FSL-1.1-MIT
vu,fr,2,,Participe passe de voir,hand-curated,FSL-1.1-MIT
